pIndex, A, f0, decayRate, step, f, accuracy, cost
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.040000000000000000e+02,8.738548273431994556e-03,7.820000000000000284e-01,4.220052463691468247e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.050000000000000000e+02,8.659217877094971608e-03,7.830000000000000293e-01,4.219184029593340268e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.060000000000000000e+02,8.581314878892734241e-03,7.830000000000000293e-01,4.218330871983617669e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.070000000000000000e+02,8.504801097393689668e-03,7.830000000000000293e-01,4.217492603447238753e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.080000000000000000e+02,8.429639700883753001e-03,7.830000000000000293e-01,4.216668848267486336e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.090000000000000000e+02,8.355795148247977325e-03,7.830000000000000293e-01,4.215859242061380519e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.100000000000000000e+02,8.283233132932530524e-03,7.840000000000000302e-01,4.215063431423825002e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.110000000000000000e+02,8.211920529801323629e-03,7.840000000000000302e-01,4.214281073580669612e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.120000000000000000e+02,8.141825344714378673e-03,7.840000000000000302e-01,4.213511836050849446e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.130000000000000000e+02,8.072916666666667476e-03,7.840000000000000302e-01,4.212755396317592327e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.140000000000000000e+02,8.005164622336991345e-03,7.840000000000000302e-01,4.212011441508687892e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.150000000000000000e+02,7.938540332906529606e-03,7.840000000000000302e-01,4.211279668085897709e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.160000000000000000e+02,7.873015873015873703e-03,7.850000000000000311e-01,4.210559781543355418e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.170000000000000000e+02,7.808564231738034621e-03,7.850000000000000311e-01,4.209851496114902503e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.180000000000000000e+02,7.745159275452842551e-03,7.850000000000000311e-01,4.209154534490305299e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.190000000000000000e+02,7.682775712515489512e-03,7.850000000000000311e-01,4.208468627540103979e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.200000000000000000e+02,7.621389059618929700e-03,7.850000000000000311e-01,4.207793514049155692e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.210000000000000000e+02,7.560975609756097338e-03,7.870000000000000329e-01,4.207128940458431665e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.220000000000000000e+02,7.501512401693889200e-03,7.870000000000000329e-01,4.206474660615163730e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.230000000000000000e+02,7.442977190876351110e-03,7.870000000000000329e-01,4.205830435531006106e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.240000000000000000e+02,7.385348421679570514e-03,7.870000000000000329e-01,4.205196033148120294e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.250000000000000000e+02,7.328605200945625779e-03,7.870000000000000329e-01,4.204571228112836678e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.260000000000000000e+02,7.272727272727272721e-03,7.870000000000000329e-01,4.203955801556959471e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.270000000000000000e+02,7.217694994179277290e-03,7.860000000000000320e-01,4.203349540886190949e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.280000000000000000e+02,7.163489312536106685e-03,7.860000000000000320e-01,4.202752239575816562e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.290000000000000000e+02,7.110091743119265582e-03,7.860000000000000320e-01,4.202163696973105766e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.300000000000000000e+02,7.057484348321000668e-03,7.860000000000000320e-01,4.201583718106518539e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.310000000000000000e+02,7.005649717514124582e-03,7.860000000000000320e-01,4.201012113501373935e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.320000000000000000e+02,6.954570947840717568e-03,7.860000000000000320e-01,4.200448699001770314e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.330000000000000000e+02,6.904231625835189484e-03,7.860000000000000320e-01,4.199893295598662313e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.340000000000000000e+02,6.854615809839689766e-03,7.860000000000000320e-01,4.199345729263734284e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.350000000000000000e+02,6.805708013172337076e-03,7.860000000000000320e-01,4.198805830789115179e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.360000000000000000e+02,6.757493188010899217e-03,7.860000000000000320e-01,4.198273435632549067e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.370000000000000000e+02,6.709956709956709300e-03,7.860000000000000320e-01,4.197748383767855862e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.380000000000000000e+02,6.663084363245566979e-03,7.860000000000000320e-01,4.197230519540679494e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.390000000000000000e+02,6.616862326574172483e-03,7.870000000000000329e-01,4.196719691529145480e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.400000000000000000e+02,6.571277159512453094e-03,7.870000000000000329e-01,4.196215752409309663e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.410000000000000000e+02,6.526315789473683890e-03,7.870000000000000329e-01,4.195718558825350941e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.420000000000000000e+02,6.481965499215890970e-03,7.870000000000000329e-01,4.195227971264217093e-01
0.000000000000000000e+00,1.000000000000000000e+01,1.549999999999999989e-01,1.625000000000000056e-01,1.430000000000000000e+02,6.438213914849428773e-03,7.870000000000000329e-01,4.194743853934568834e-01
